combination,symbols,kr_count,us_count,annual_return,annual_volatility,sharpe_zero_rate,max_drawdown,average_pair_correlation
226490|275290|ITOT|IWM,"226490,275290,ITOT,IWM",2,2,0.17896683661043578,0.15940764966154122,1.1226991740385306,-0.1906195282555515,0.4612127909509251
226490|275290|IJS|IWF,"226490,275290,IJS,IWF",2,2,0.18332097871220007,0.15941846120903752,1.1499356932809706,-0.19017186515388873,0.39067553976023256
069500|292190|IWD|IWF,"069500,292190,IWD,IWF",2,2,0.19503085679060023,0.15949681186843687,1.222788433862077,-0.19957928731005303,0.4310298116134808
292190|226980|IWM|IJS,"292190,226980,IWM,IJS",2,2,0.14946067075304037,0.15954587645835572,0.9367880516301043,-0.19820676968507,0.4078696552228098
069500|ITOT|IWM|IJS,"069500,ITOT,IWM,IJS",1,3,0.16137843726558987,0.15955099676057993,1.0114536451799934,-0.18078859742128695,0.5393221194022314
069500|275290|IVV|IJS,"069500,275290,IVV,IJS",2,2,0.19441705388532976,0.1596030631675097,1.218128587427432,-0.19171763641724637,0.4089322658319087
275290|IWM|IJS|IWF,"275290,IWM,IJS,IWF",1,3,0.16348943338682495,0.15961307029902647,1.0242860003916743,-0.18833930441275526,0.46669748442965053
226980|IWM|IJS|IWF,"226980,IWM,IJS,IWF",1,3,0.13334447879234707,0.1596195031272913,0.8353896371047417,-0.19926305341456563,0.4937720072768075
292190|229200|IJS|IWF,"292190,229200,IJS,IWF",2,2,0.13525716690734263,0.15971991340139188,0.8468397210273214,-0.23185745773268363,0.3273901769527359
229200|275290|IWM|IWF,"229200,275290,IWM,IWF",2,2,0.13646300053999078,0.1598910717372917,0.8534748004204118,-0.24127704966226926,0.33854347576337673
229200|IVV|IWM|IWF,"229200,IVV,IWM,IWF",1,3,0.11705174065234192,0.1598974950250483,0.7320423664798845,-0.22950181119645652,0.5298581837345814
069500|229200|IVV|IWF,"069500,229200,IVV,IWF",2,2,0.14712770693896499,0.1598984758349024,0.9201320160854852,-0.2410256915400446,0.4072308651686498
069500|275290|IWM|IWD,"069500,275290,IWM,IWD",2,2,0.18866678421668515,0.16003574491731085,1.178904027435669,-0.19122262582083183,0.4371549318799725
069500|292190|IVV|ITOT,"069500,292190,IVV,ITOT",2,2,0.19642698435748052,0.16007240544646828,1.2271133416756832,-0.20058243821526034,0.5012030959706878
226490|IWM|IJS|IWF,"226490,IWM,IJS,IWF",1,3,0.1525472698999171,0.16019818991040832,0.9522409084973429,-0.19817668108097408,0.4936715793370509
069500|226980|IWM|IJS,"069500,226980,IWM,IJS",2,2,0.1529096503662178,0.1602564555991748,0.9541559483174115,-0.19570660834086906,0.40196382837864747
292190|229200|IVV|IWF,"292190,229200,IVV,IWF",2,2,0.1436787273257876,0.1602621918454442,0.8965229145521134,-0.2441347167268344,0.42015093335300335
069500|229200|ITOT|IWF,"069500,229200,ITOT,IWF",2,2,0.14486279913150807,0.16028714902430122,0.9037705144380935,-0.2441862019869474,0.4074498301963268
292190|229200|ITOT|IWF,"292190,229200,ITOT,IWF",2,2,0.1414138195183307,0.16065524280258298,0.8802315881598922,-0.247286764574442,0.420480144608139
226490|292190|IVV|IWM,"226490,292190,IVV,IWM",2,2,0.17708502227905537,0.160672257033807,1.1021505862197167,-0.19729072647814982,0.47431258641487895
069500|275290|ITOT|IJS,"069500,275290,ITOT,IJS",2,2,0.19215214607787284,0.16068978343804585,1.19579566271528,-0.1918663469688462,0.41890698760172285
IVV|IWM|IWD|IWF,"IVV,IWM,IWD,IWF",0,4,0.1496903527551656,0.16071548770863153,0.931399673356597,-0.17899159176081547,0.8183661703554445
229200|ITOT|IWM|IWF,"229200,ITOT,IWM,IWF",1,3,0.114786832844885,0.16081618361075703,0.7137766253844049,-0.23516722667354284,0.5365706399613092
229200|ITOT|IWM|IJS,"229200,ITOT,IWM,IJS",1,3,0.10721692663832179,0.1608194666665341,0.6666912212850487,-0.20031071034339143,0.5208749310604558
229200|275290|IWM|IJS,"229200,275290,IWM,IJS",2,2,0.12889309433342755,0.16106895756344008,0.8002354785381941,-0.21031082543171997,0.3463273054895346
292190|275290|IVV|IWM,"292190,275290,IVV,IWM",2,2,0.18802718576596322,0.16143628718327713,1.1647145077890555,-0.19665616809733633,0.448141745566853
229200|226980|275290|IWD,"229200,226980,275290,IWD",3,1,0.13513402780722214,0.16144334465585344,0.837036844691774,-0.23905697403241832,0.3468403025826155
069500|292190|IVV|IJS,"069500,292190,IVV,IJS",2,2,0.19027033174649247,0.16145661860974855,1.1784610218202858,-0.19845996596571847,0.4271428219561493
226490|292190|IVV|IWF,"226490,292190,IVV,IWF",2,2,0.18759581699180775,0.1616322499920224,1.1606335802481673,-0.20931213873481613,0.5012452013874076
226490|292190|IJS|IWF,"226490,292190,IJS,IWF",2,2,0.17917425657336278,0.16179556846706375,1.107411397425491,-0.19698710116895113,0.41264467274973676
226490|229200|IWM|IWF,"226490,229200,IWM,IWF",2,2,0.12552083705308292,0.1617957129906945,0.7757982874385684,-0.2511688827070552,0.3773215348671028
ITOT|IWM|IWD|IWF,"ITOT,IWM,IWD,IWF",0,4,0.14742544494770868,0.161802871905338,0.9111423252979046,-0.18547920179690502,0.8275571089986261
226490|292190|ITOT|IWM,"226490,292190,ITOT,IWM",2,2,0.1748201144715985,0.16181366865409538,1.0803791541572836,-0.1974305075868934,0.4850329326957367
069500|292190|IWM|IWD,"069500,292190,IWM,IWD",2,2,0.18452006207784788,0.16190192333630427,1.139702718012565,-0.19797038355522212,0.454569612021581
292190|IWM|IJS|IWF,"292190,IWM,IJS,IWF",1,3,0.15934271124798766,0.16196681208354977,0.9837985276007749,-0.20106287500176323,0.48892416974867164
069500|226490|IVV|IWM,"069500,226490,IVV,IWM",2,2,0.1805340018922328,0.16209892087228966,1.1137273519202961,-0.19715733912512468,0.4714616157895127
229200|226980|IWM|IWF,"229200,226980,IWM,IWF",2,2,0.10631804594551289,0.16212404576161954,0.6557820923235442,-0.24694749161628493,0.3836920874884266
226490|292190|ITOT|IWF,"226490,292190,ITOT,IWF",2,2,0.18533090918435086,0.1621299544539335,1.1431009760568922,-0.2125928546319803,0.5029527995343013
292190|275290|IVV|IWF,"292190,275290,IVV,IWF",2,2,0.1985379804787156,0.16214300397858403,1.2244622068611646,-0.20694941287833823,0.4725432869656916
226490|229200|IWM|IJS,"226490,229200,IWM,IJS",2,2,0.11795093084651971,0.16235019551193433,0.7265216433807692,-0.2171545076429109,0.37834438072761056
