date,069500,226490,292190,229200,226980,275290,IVV,ITOT,IWM,IJS,IWD,IWF
2023-03-24,29630.0,23206.0,13904.0,11969.0,10521.0,9438.0,492580.0345199999,108447.97326999999,214027.38945,110503.45109999999,178404.49998000002,75373.04278
2023-03-31,30449.0,23778.0,14337.0,12464.0,11088.0,9822.0,512464.03282,113068.06215000001,223567.60579,115701.80585,186660.56345,78252.91273
2023-04-07,30575.0,23918.0,14467.0,13142.0,11042.0,9858.0,519145.91936999996,114030.52287,220794.78339,114249.22965,189350.20949999997,78835.61576999999
2023-04-14,31544.0,24676.0,14886.0,13652.0,11394.0,10120.0,515225.83048000006,113268.49626000001,220689.34472000002,113597.37774,188737.83351000003,78047.00430000002
2023-04-21,31278.0,24420.0,14723.0,12894.0,11357.0,10038.0,526390.2317,115836.3066,227009.9671,115920.24884000001,192770.16648,79745.39364
2023-04-28,30806.0,24042.0,14605.0,12896.0,11087.0,9910.0,534984.22068,117357.62493,225594.94503,116037.98388,194778.75144000002,81227.41809
2023-05-05,30744.0,24085.0,14586.0,12782.0,11120.0,9919.0,524769.44308,115200.40324,222127.08931999997,112873.8626,189246.11743999997,80420.28739999999
2023-05-12,30612.0,23857.0,14391.0,12200.0,11101.0,9835.0,528273.70205,115835.26725,221869.56615,111553.2571,188947.0508,81555.0316
2023-05-19,31618.0,24446.0,14862.0,12573.0,11209.0,10077.0,534116.68368,117181.44085000001,224901.91866000002,113143.76207,189441.74839,83127.97059
2023-05-26,31877.0,24612.0,14972.0,12658.0,11096.0,10156.0,535146.07935,117355.60065000001,224579.96835,112616.53965,186720.46035,84414.0936
2023-06-02,32383.0,25005.0,15243.0,13160.0,11219.0,10244.0,537352.21738,118119.36708,228769.86901999998,114923.66633000001,187635.74907,84979.39538
2023-06-09,32793.0,25371.0,15467.0,13443.0,11474.0,10430.0,534098.5335,117495.7623,230660.47934999998,115620.246,187604.19405000002,83995.0272
2023-06-16,32619.0,25266.0,15409.0,13488.0,11455.0,10305.0,539541.63347,118661.40174000002,228277.17787000004,114132.42022000001,188364.95587,85321.21423
2023-06-23,32005.0,24754.0,15105.0,13209.0,11342.0,10165.0,545513.99416,119642.35204,227314.23480000003,113051.05566,189264.06938,86514.36784
2023-06-30,32066.0,24768.0,15143.0,13110.0,11318.0,10267.0,564134.11931,124024.42763,238188.90147,119486.26883,196642.87463,89334.92096999999
2023-07-07,31434.0,24417.0,14886.0,13309.0,11068.0,9877.0,552542.3505000001,121498.371,232668.58049999998,117090.2115,192662.37,87528.699
2023-07-14,32911.0,25280.0,15543.0,13796.0,11460.0,10258.0,549136.82422,120990.48035999999,234012.24339999998,116832.0742,190393.78804,87606.39774
2023-07-21,32468.0,25148.0,15524.0,14894.0,11375.0,10049.0,560408.8023,123611.05602,240895.72008000003,120671.68500000001,197154.75294,88321.79124
2023-07-28,32628.0,25186.0,15543.0,14839.0,11224.0,9952.0,563280.9967,124223.1121,242122.6479,121726.0663,196666.6836,89372.6328
2023-08-04,32377.0,25152.0,15471.0,14839.0,11540.0,9984.0,565004.3656199999,124641.74682,245484.41874,123653.63369999999,198597.24618,89135.03352
2023-08-11,32169.0,24967.0,15329.0,14492.0,11564.0,9905.0,570181.8441600001,125517.84624000001,244247.69982,123689.35175000002,201500.59626000002,89196.37519
2023-08-18,31142.0,24204.0,14843.0,13975.0,11063.0,9594.0,563929.24059,124032.17186999999,238528.01943,120448.07063999999,198742.63554000002,88370.75942999999
2023-08-25,31303.0,24341.0,14962.0,14437.0,11096.0,9622.0,563144.4026,123697.74604,235361.74844000002,117929.548,196371.31648,88981.48164000001
2023-09-01,32089.0,24768.0,15300.0,14467.0,11332.0,9877.0,574663.1436,126500.48292,242944.98395999998,121824.54564,199325.93772,91622.17932
2023-09-08,31918.0,24593.0,15153.0,14069.0,11323.0,9789.0,573622.1463400001,126092.17096000002,236715.16850000003,117387.73576000001,198632.86448,91463.77296
2023-09-15,32737.0,25067.0,15505.0,13850.0,11450.0,10114.0,569351.2716600001,125140.69603,234987.00297,117233.29361000001,198505.92519,90348.28449
2023-09-22,31417.0,24251.0,14934.0,13423.0,11205.0,9849.0,557660.29008,122337.11832,227963.83560000002,114002.9724,194917.60488,87995.12735999998
2023-09-29,31109.0,23895.0,14739.0,13130.0,11077.0,9719.0,559110.3855099999,122830.69197,231266.91661,115471.60977,194933.23606999998,88591.79968
2023-10-06,30352.0,23336.0,14387.0,12722.0,10714.0,9585.0,561885.88574,123224.54158,226473.66793000003,111793.99335000002,192129.64712,90460.57872
2023-10-13,31010.0,23801.0,14672.0,12866.0,10813.0,9715.0,564584.985,123494.62500000001,222916.32,110805.165,192914.73,90730.53000000001
2023-10-20,30224.0,23027.0,14282.0,12056.0,10393.0,9469.0,552160.4415600001,120786.36024000001,218289.53160000002,109614.04860000001,189679.91532,88297.92552
2023-10-27,29387.0,22340.0,13863.0,11669.0,10199.0,9311.0,539760.1973400001,117993.12980000001,213292.42571000004,106776.44705,185396.95265,86173.54655
2023-11-03,30303.0,22899.0,14291.0,12061.0,10463.0,9603.0,557100.1430400001,121992.32568,223770.84168,113321.74560000001,191059.55856,89322.83040000002
2023-11-10,30830.0,23340.0,14558.0,12409.0,10761.0,9854.0,562466.3795200001,122672.03456,215952.96143999998,108976.91952,188320.70352,91619.652
2023-11-17,31613.0,23867.0,14862.0,12464.0,10841.0,9998.0,566617.94442,123989.34636000001,224235.04752000002,113102.00055000001,190843.11477000001,92146.17159000001
2023-11-24,31827.0,24175.0,15010.0,12653.0,11124.0,10035.0,576642.86976,126147.55168,227195.24016000002,113993.198,194143.18952,93833.74768
2023-12-01,31869.0,24251.0,15100.0,13030.0,11243.0,10119.0,581027.4622,127641.95,234156.97005999996,117886.3182,197843.84728,94109.78947999999
2023-12-08,32121.0,24417.0,15129.0,13150.0,11257.0,10128.0,583010.7861599999,128118.54132,236731.52448,119656.22724,197460.61631999997,94868.84483999999
2023-12-15,32624.0,24844.0,15438.0,13344.0,11318.0,10221.0,592389.64925,130704.96205,247740.53565,125950.8262,202393.7627,96214.17255
2023-12-22,33274.0,25110.0,15728.0,13587.0,11507.0,10555.0,600666.061,132748.4673,255526.3786,128943.4467,204883.72,97581.8003
2023-12-29,34338.0,25873.0,16218.0,13855.0,11753.0,10774.0,596009.8927999999,131582.9816,251619.55839999998,127607.5696,203721.028,96579.5208
2024-01-05,33199.0,25171.0,15733.0,13850.0,11309.0,10509.0,599118.26638,131943.03856000002,247421.08378000002,125795.6482,207198.65104,95901.2101
2024-01-12,32344.0,24669.0,15348.0,13602.0,11252.0,10393.0,609502.22285,134009.5748,247038.22005,124439.80785,206308.5553,99268.15655
2024-01-19,31869.0,24180.0,15095.0,12996.0,10822.0,10179.0,628755.3012,138080.09019999998,250791.4864,125800.25510000001,209903.6485,103404.275
2024-01-26,32040.0,24204.0,15153.0,12901.0,11021.0,10323.0,634141.9667799999,139215.734,254903.10027,128462.39427,212051.16639,104187.3021
2024-02-02,33815.0,25503.0,15847.0,12772.0,11573.0,11113.0,636469.2430799999,139573.3167,250268.72047999996,124437.35004,211117.77657999998,105130.96106
2024-02-09,33786.0,25589.0,15904.0,12946.0,11587.0,11103.0,648094.5259,142266.02558000002,257701.74706000002,125691.94906000001,212291.38598000002,108237.01030000001
2024-02-16,34024.0,25873.0,16052.0,13433.0,11691.0,11075.0,649408.3585000001,142790.9835,262114.18156,128594.07902,215487.22162,107548.84272
2024-02-23,34357.0,26025.0,16204.0,13721.0,11819.0,11243.0,658087.5279,144375.03410000002,258957.4966,126596.73400000001,217809.3654,108942.4831
2024-03-01,34115.0,25921.0,16190.0,13900.0,11597.0,11117.0,664849.24025,146083.79155,266830.73589999997,128090.56629999999,219394.9832,110373.22785
2024-03-08,34729.0,26229.0,16423.0,14308.0,11762.0,11075.0,657600.64444,144543.96808,265693.5573,127637.33007999999,219879.86781999998,108015.99545999999
2024-03-15,34548.0,26148.0,16432.0,14462.0,11800.0,10945.0,661565.5793999999,145263.7239,262123.66770000002,126127.14240000001,221395.06695,108625.08015000001
2024-03-22,35800.0,26940.0,16980.0,15043.0,12059.0,11099.0,681518.36592,149385.64984,267823.74416000006,128616.09096000002,226437.8732,112370.05640000002
2024-03-29,36128.0,27021.0,17217.0,15078.0,12050.0,11075.0,687858.25598,151094.93022,276254.77896,133456.61396000002,231795.31238000002,112371.48722000001
2024-04-05,35843.0,26670.0,16975.0,14159.0,12007.0,10973.0,684998.53208,150294.99776,269886.84672,129386.5268,229862.63536,112131.83335999999
2024-04-12,35409.0,26409.0,16780.0,14000.0,12059.0,10801.0,686175.7817200001,150288.72014,266664.89018,127607.13628,227197.37456,113299.95040000002
2024-04-19,34005.0,25555.0,16147.0,13776.0,12041.0,10495.0,668369.721,146362.81664,260497.84342000002,127491.3636,226619.84498000002,108222.25162000001
2024-04-26,34848.0,26186.0,16561.0,14119.0,12423.0,10778.0,682730.6894299999,149594.95677999998,266202.65541,128951.29118999999,228793.80775999997,111714.79381999999
2024-05-03,35156.0,26375.0,16658.0,14179.0,12620.0,10912.0,680591.72332,149203.70496,268490.81548,129790.75523999998,226806.0342,111883.97208
2024-05-10,35874.0,26836.0,16963.0,14034.0,12952.0,11113.0,695937.01047,152514.14628,272752.21417,132671.22388,232646.36267,114070.8099
2024-05-17,35797.0,26836.0,16871.0,13328.0,13159.0,11008.0,700731.5176800002,153456.24498000002,275104.99305,133155.77828,233215.14328,115050.65605000002
2024-05-24,35349.0,26487.0,16682.0,13243.0,13193.0,10917.0,708308.9606999999,154869.9075,274541.4738,131538.69465,232423.73385000002,117362.17845
2024-05-31,34698.0,26002.0,16391.0,13223.0,13371.0,10807.0,713120.0914500001,155838.35085,277994.3088,134181.44805,235794.61035,117365.31104999999
2024-06-07,35884.0,26783.0,16968.0,14034.0,13058.0,10975.0,712214.2062,155032.81866,268050.7143,129080.51361,230306.44968,118774.00043999999
2024-06-14,36283.0,27166.0,17176.0,13756.0,13207.0,10946.0,731264.1706499999,158823.6364,268221.98832,127399.59621999999,230027.92995,124177.96521000001
2024-06-21,36837.0,27423.0,17385.0,13676.0,13347.0,11233.0,740298.7579600001,160862.87632,272172.88308,129442.17657,234302.55801999997,125304.90374
2024-06-28,37141.0,27558.0,17511.0,13527.0,13351.0,11271.0,734408.46219,159639.65394000002,273320.3811,129815.23815,231826.64310000002,124425.18231
2024-07-05,38292.0,28189.0,18097.0,14109.0,13101.0,11468.0,751041.26478,162910.522,271503.35532,128294.03895999999,231694.70371,129461.09933000001
2024-07-12,37994.0,28126.0,17918.0,14074.0,13395.0,11367.0,755132.18166,164357.1954,286940.83782,135331.9428,237252.16986,128546.4972
2024-07-19,37218.0,27588.0,17554.0,13666.0,13188.0,11338.0,748047.29622,163363.09709999998,294977.5017,140589.25776,241305.3552,124673.27502
2024-07-26,36259.0,27025.0,17099.0,13114.0,12981.0,11099.0,738411.7320799999,161800.39986,303612.63899999997,145227.45754,243105.984,121189.7445
2024-08-02,35426.0,26409.0,16701.0,12880.0,12625.0,11003.0,708217.2396,154565.2872,277211.826,134514.79320000001,233432.01,115698.9372
2024-08-09,34028.0,25575.0,16091.0,12745.0,12380.0,10644.0,712710.8492400001,155469.55968,275644.82016,133893.21096,234338.15592000002,116929.76220000001
2024-08-16,35687.0,26589.0,16876.0,13188.0,12726.0,11061.0,734294.93357,159979.19083,281117.01985,136314.81984,237813.80057,121854.8288
2024-08-23,35706.0,26705.0,16852.0,12914.0,12789.0,11018.0,731731.4528000001,159761.72,286379.7472,138032.4528,238225.0064,121209.08320000001
2024-08-30,35116.0,26448.0,16580.0,12845.0,12688.0,11008.0,738947.75125,161361.6175,288035.84125,139045.83125000002,243104.80250000002,121197.295
2024-09-06,33220.0,25192.0,15664.0,11715.0,11904.0,10424.0,709735.3827200001,154692.25894,272583.09246,133216.47573,236143.70802000002,114989.54805000001
2024-09-13,33365.0,25493.0,15761.0,12203.0,12418.0,10347.0,732379.7121599999,159668.73888,282106.15151999996,136239.59136,238922.60495999997,120949.59023999999
2024-09-20,33389.0,25668.0,15844.0,12541.0,12649.0,10472.0,744570.2109000001,162588.54270000002,289010.2627,139288.7691,242698.5102,123291.5694
2024-09-27,34376.0,26278.0,16343.0,12974.0,12986.0,10582.0,736012.47687,160672.49813999998,283419.82845,136954.31673,240649.64879999997,121549.11284999999
2024-10-04,33220.0,25517.0,15829.0,13049.0,12707.0,10151.0,760174.1661299999,165876.73522,290336.84187,139579.55286999998,248282.26425999997,125561.40531
2024-10-11,33597.0,25735.0,15994.0,12999.0,12822.0,10079.0,770108.16721,168069.01854,293566.68188,140405.34006999998,250984.38115,127512.45163999998
2024-10-18,33684.0,25750.0,15892.0,12601.0,12894.0,10108.0,787213.99325,171958.20023000002,303379.36939999997,146025.30139,257317.34977,130166.47957999998
2024-10-25,33462.0,25668.0,15810.0,12262.0,12817.0,9816.0,791095.77688,172510.57816,298567.69752000005,143219.574,255152.41912,132040.95944
2024-11-01,32854.0,25221.0,15538.0,12332.0,12683.0,9864.0,773855.08046,169158.20768,296346.90469999996,142512.22293,251117.43888,128965.05006000001
2024-11-08,33082.0,25372.0,15674.0,12646.0,12870.0,9753.0,821827.5791,180296.26119999998,326621.2543,156943.5901,264827.3342,138284.1405
2024-11-15,31145.0,24009.0,14797.0,11844.0,12202.0,9418.0,806219.62155,176696.9514,313959.21165,152791.95195000002,262177.71165,134681.02245
2024-11-22,32368.0,24824.0,15209.0,11347.0,12231.0,9749.0,823668.8486400001,181426.72512000002,329716.55664,158520.40704000002,269830.21632,137639.4456
2024-11-29,31684.0,24451.0,14971.0,11292.0,12091.0,9600.0,826918.06365,182133.90404999998,331646.26635,159445.9461,270749.5098,138147.9246
2024-12-06,31388.0,24131.0,14797.0,11282.0,11855.0,9437.0,850630.979,187235.3517,333831.8156,160724.2925,270543.3214,145857.6423
2024-12-13,32150.0,24708.0,15180.0,11546.0,12389.0,9663.0,852881.5214399999,187167.15888,328436.04768,160661.59824000002,267445.07088,147557.2176
2024-12-20,30932.0,23844.0,14559.0,10924.0,12125.0,9299.0,844021.2504,184865.10220000002,316558.81124999997,154383.7373,262144.6051,146660.19045
2024-12-27,31204.0,23956.0,14734.0,11003.0,12091.0,9452.0,862905.7225500001,188699.55969999998,322047.44070000004,156757.3587,267517.4774,149896.44685
2025-01-03,31674.0,24354.0,15010.0,11700.0,12231.0,9528.0,858221.76195,187946.55873,324824.71671,156902.2326,267371.93916,148762.88703
2025-01-10,32650.0,25091.0,15480.0,11879.0,12442.0,9797.0,843258.4576000001,184520.6464,314316.16,152492.7232,263569.1072,145680.6016
2025-01-17,32703.0,25139.0,15451.0,12009.0,12644.0,9710.0,859774.22785,188550.79619999998,323828.85894999997,157734.29555,272404.9201,147545.79795
2025-01-24,32893.0,25304.0,15611.0,12253.0,12688.0,9715.0,858741.8059600001,188298.80918,322364.8783,156401.06216,270568.52418,147832.12920000002
